"dia","estaci","nivell_absolut","percentatge_volum_embassat","volum_embassat"
"2024-06-12T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.91","22.7","13.89"
"2024-06-12T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.21","27.2","21.72"
"2024-06-11T00:00:00.000","Embassament de la Baells (Cercs)","610.28","47.7","52.16"
"2024-06-11T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.12","30.5","50.47"
"2024-06-11T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.26","2.2","0.27"
"2024-06-11T00:00:00.000","Embassament de Riudecanyes","194.33","2.4","0.13"
"2024-06-11T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.43","68.3","2.56"
"2024-06-11T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.91","22.7","13.88"
"2024-06-11T00:00:00.000","Embassament de Susqueda (Osor)","313.66","33.6","78.2"
"2024-06-11T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.07","34.5","8.41"
"2024-06-11T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.16","27.1","21.67"
"2024-06-10T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.42","68.1","2.55"
"2024-06-10T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.11","27","21.62"
"2024-06-10T00:00:00.000","Embassament de Susqueda (Osor)","313.29","33.1","77.23"
"2024-06-10T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.88","22.7","13.84"
"2024-06-10T00:00:00.000","Embassament de la Baells (Cercs)","610.22","47.5","52.03"
"2024-06-10T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.3","2.2","0.27"
"2024-06-10T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.11","30.5","50.43"
"2024-06-10T00:00:00.000","Embassament de Riudecanyes","194.33","2.4","0.13"
"2024-06-10T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.06","34.4","8.4"
"2024-06-09T00:00:00.000","Embassament de Riudecanyes","194.34","2.4","0.13"
"2024-06-09T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.05","34.4","8.39"
"2024-06-09T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.06","27","21.57"
"2024-06-09T00:00:00.000","Embassament de la Baells (Cercs)","610.17","47.4","51.92"
"2024-06-09T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.12","30.5","50.46"
"2024-06-09T00:00:00.000","Embassament de Susqueda (Osor)","312.94","32.7","76.3"
"2024-06-09T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.41","68","2.54"
"2024-06-09T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.88","22.7","13.84"
"2024-06-09T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.34","2.2","0.27"
"2024-06-08T00:00:00.000","Embassament de la Baells (Cercs)","610.11","47.3","51.8"
"2024-06-08T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.37","2.3","0.28"
"2024-06-08T00:00:00.000","Embassament de Riudecanyes","194.35","2.5","0.13"
"2024-06-08T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.4","67.8","2.54"
"2024-06-08T00:00:00.000","Embassament de Susqueda (Osor)","312.61","32.4","75.45"
